MSSubClass,SalePrice,Residential,LotFrontage,LotArea,Paved,RegularLotShape,LevelContour,AllUtilities,InsideStreet,SingleFam,Age,OverallQual,OverallCond,ExterQual,ExterCond,FinalBsmtQual,BsmtSF,HeatingQual,CentralAir,ElectricQC,TotalSF,Bathrooms,Bedrooms,KitchenQual,Functional,FireplaceQual,GarageScore,PorchArea,Pool,LuxuryItems,LuxuryValue
0,207500,1,47.0,16321,1,0,1,1,0,1,40,5,6,3,3,15.0,1484,3,1,4,1600,1.0,2,3,1,4,11.0,546.0,0,0,0
1,68500,1,60.0,6324,1,0,1,1,1,1,23,4,6,3,3,9.0,520,2,0,4,520,1.0,1,2,1,0,9.0,136.0,0,0,0
6,40000,0,50.0,8500,1,1,1,1,1,1,30,4,4,3,2,9.0,649,3,0,4,1317,1.0,3,3,1,0,7.0,226.0,0,0,0
0,149350,1,,8544,1,0,1,1,0,1,40,5,6,3,3,9.0,1228,4,1,4,1228,1.5,3,4,1,0,10.0,65.0,0,0,0
0,179900,1,85.0,11049,1,1,1,1,0,1,0,8,5,4,3,13.0,1234,5,1,4,1234,2.0,3,4,1,0,11.0,30.0,0,0,0
0,165500,1,70.0,10552,1,0,1,1,1,1,0,5,5,3,3,11.0,1398,4,1,4,1700,1.5,4,4,1,4,11.0,38.0,0,0,0
11,277500,1,60.0,7313,1,1,1,1,1,0,0,9,5,5,3,16.0,1561,5,1,4,1561,2.0,2,5,1,4,12.0,250.0,0,0,0
5,309000,1,108.0,13418,1,1,1,1,1,1,1,8,5,4,3,13.0,1117,5,1,4,2452,3.5,4,4,1,4,12.0,145.0,0,0,0
0,145000,1,112.0,10859,1,1,1,1,0,1,1,5,5,3,3,10.0,1097,5,1,4,1097,1.5,3,3,1,0,10.0,456.0,0,0,0
0,153000,1,74.0,8532,1,1,1,1,1,1,36,5,6,3,3,11.0,1297,4,1,4,1297,1.0,3,3,1,3,12.0,0.0,0,0,0
0,109000,1,68.0,7922,1,1,1,1,1,1,54,5,7,3,4,14.0,1057,3,1,4,1057,1.0,3,4,1,0,10.0,52.0,0,0,0
10,82000,1,65.0,6040,1,1,1,1,1,0,0,4,5,3,3,,0,3,0,1,1152,2.0,2,2,1,0,1.0,0.0,0,0,0
0,160000,1,84.0,8658,1,1,1,1,1,1,0,6,5,3,3,11.0,1088,5,1,4,1324,2.0,3,3,1,3,11.0,138.0,0,0,0
0,170000,1,115.0,16905,1,1,1,1,1,1,0,5,6,3,4,15.0,1350,4,1,4,1328,1.5,2,3,1,4,10.0,104.0,0,0,0
9,144000,1,,9180,1,0,1,1,0,1,0,5,7,3,3,17.0,840,4,1,4,884,1.0,2,4,1,0,12.0,240.0,0,0,0
0,130250,1,,9200,1,0,1,1,0,1,5,5,6,3,3,16.0,938,3,1,4,938,1.0,3,3,1,0,10.0,145.0,0,0,0
0,141000,1,70.0,7945,1,1,1,1,1,1,0,5,6,3,3,16.0,1150,5,1,3,1150,1.0,3,3,1,0,11.0,0.0,0,0,0
11,319900,1,61.0,7658,1,1,1,1,1,0,0,9,5,5,3,16.0,1752,5,1,4,1752,2.0,2,5,1,4,11.0,278.0,0,0,0
4,239686,1,48.0,12822,1,0,1,1,0,1,0,7,5,4,3,16.0,1434,5,1,4,2149,1.5,1,4,1,5,11.0,409.0,0,0,0
0,249700,0,84.0,11096,1,1,1,1,1,1,0,8,5,4,3,17.0,1656,5,1,4,1656,2.0,3,4,1,0,11.0,146.0,0,0,0
15,113000,1,33.0,4456,1,1,1,1,1,0,88,4,5,3,3,9.0,736,4,1,4,1452,2.0,2,3,1,0,1.0,102.0,0,0,0
0,127000,1,66.0,7742,1,1,1,1,1,1,0,5,7,3,3,12.0,955,5,1,4,955,1.0,3,3,1,0,10.0,0.0,0,0,0
5,177000,1,,13869,1,0,1,1,0,1,0,6,6,3,3,17.0,794,4,1,4,1470,2.0,3,3,1,0,12.0,75.0,0,0,0
4,114500,1,52.0,6240,1,1,1,1,1,1,16,6,6,3,3,9.0,816,3,1,4,816,1.0,3,3,1,4,10.0,112.0,0,0,400
10,110000,1,110.0,8472,0,0,0,1,0,0,0,5,5,2,3,19.0,816,3,0,4,816,1.0,2,3,1,0,10.0,106.0,0,0,0
0,385000,1,68.0,50271,1,0,0,1,1,1,6,9,5,4,3,19.0,1842,4,1,4,1842,0.5,0,4,1,4,12.0,929.0,0,0,0
8,130000,1,60.0,7134,1,1,0,1,1,1,0,5,5,3,3,13.0,384,3,1,4,1360,1.0,3,3,0,3,10.0,50.0,0,0,0
0,180500,1,100.0,10175,1,0,1,1,1,1,0,6,5,3,3,12.0,1425,4,1,4,1425,2.0,3,3,1,4,11.0,407.0,0,0,0
13,172500,0,24.0,2645,1,1,1,1,1,0,1,8,5,4,3,15.0,970,5,1,4,1739,2.5,3,4,1,0,12.0,115.0,0,0,0
5,196500,1,89.0,11645,1,0,1,1,0,1,0,7,5,4,3,10.0,860,5,1,4,1720,2.5,3,4,1,0,11.0,70.0,0,0,0
5,438780,1,66.0,13682,1,0,0,1,0,1,0,10,5,5,3,14.0,1410,5,1,4,2945,3.5,3,4,1,4,12.0,229.0,0,0,0
0,124900,1,60.0,7200,1,1,0,1,1,1,0,5,7,3,3,15.0,780,5,1,4,780,1.0,2,3,1,0,10.0,196.0,0,0,0
0,158000,1,63.0,13072,1,1,1,1,1,1,0,6,5,3,3,14.0,1158,5,1,4,1158,1.5,3,4,1,0,10.0,50.0,0,0,0
7,101000,1,60.0,7200,1,1,1,1,1,1,76,5,7,3,3,8.0,530,3,0,4,1111,1.0,3,2,1,0,8.0,144.0,0,0,0
11,202500,1,44.0,6442,1,0,1,1,1,0,0,8,5,4,3,17.0,1370,5,1,4,1370,2.0,2,4,1,4,11.0,169.0,0,0,0
6,140000,1,50.0,10300,1,0,0,1,1,1,29,7,6,3,3,9.0,576,4,1,4,1710,2.0,3,3,1,0,10.0,87.0,0,0,0
5,219500,1,,9375,1,1,1,1,1,1,1,7,5,3,3,15.0,1057,5,1,4,2034,2.5,3,4,1,0,11.0,612.0,0,0,0
5,317000,1,76.0,9591,1,1,1,1,1,1,1,8,5,4,3,13.0,1143,5,1,4,2473,2.5,4,4,1,4,11.0,343.0,0,0,0
0,180000,1,,19900,1,1,1,1,1,1,19,7,5,3,3,18.0,1947,3,1,4,2207,2.0,3,3,0,4,11.0,301.0,0,0,0
0,226000,1,72.0,10665,1,0,1,1,1,1,0,7,5,4,3,17.0,1453,5,1,4,1479,2.0,3,4,1,0,11.0,173.0,0,0,0
1,80000,1,47.0,4608,1,1,1,1,0,1,5,4,6,3,4,9.0,747,3,1,4,747,1.0,2,3,1,0,10.0,0.0,0,0,0
4,225000,1,81.0,15593,1,1,1,1,0,1,0,7,4,4,3,12.0,1304,3,1,4,2287,2.0,3,3,1,3,12.0,135.0,0,0,0
0,244000,1,95.0,13651,1,0,1,1,1,1,0,7,6,3,4,17.0,2223,5,1,4,2223,2.0,3,3,1,4,12.0,300.0,0,0,0
0,129500,1,69.0,7599,1,1,1,1,0,1,24,4,6,3,3,13.0,845,3,1,4,845,1.0,2,3,1,0,10.0,0.0,0,0,0
5,185000,1,74.0,10141,1,0,1,1,0,1,0,7,5,3,3,10.0,832,4,1,4,1718,2.5,3,3,1,3,12.0,385.0,0,0,0
0,144900,1,85.0,10200,1,1,1,1,1,1,49,5,7,3,3,16.0,1086,4,1,4,1086,1.0,3,3,1,0,10.0,0.0,0,0,0
4,107400,1,60.0,5790,1,1,1,1,0,1,35,3,6,4,4,8.0,840,4,0,4,1605,2.0,3,3,1,0,10.0,202.0,0,0,0
14,91000,1,21.0,1596,1,1,1,1,1,0,0,4,5,3,3,18.0,462,3,1,4,988,1.0,2,3,1,0,10.0,221.0,0,0,0
0,135750,1,,8475,1,0,1,1,1,1,0,4,7,3,3,13.0,952,5,1,3,952,1.0,2,3,1,0,10.0,0.0,0,0,0
4,127000,1,50.0,8635,1,1,1,1,1,1,53,5,5,3,3,17.0,672,3,1,4,1285,1.0,2,3,0,0,10.0,0.0,0,0,0
10,136500,1,72.0,10778,1,1,1,1,1,0,0,4,5,3,3,9.0,1768,3,0,4,1768,2.0,4,3,1,0,3.0,0.0,0,0,0
4,110000,1,60.0,10440,1,1,1,1,0,1,71,5,6,3,3,9.0,440,4,1,4,1230,1.5,2,3,1,0,10.0,202.0,0,0,0
5,193500,1,100.0,13000,1,1,1,1,0,1,0,6,6,3,4,12.0,896,3,1,4,2142,2.5,4,4,1,4,12.0,324.0,0,0,0
11,153500,1,32.0,4500,1,1,1,1,0,0,0,6,5,3,4,17.0,1237,5,1,4,1337,2.0,2,3,1,0,12.0,199.0,0,0,0
0,245000,1,78.0,10206,1,1,1,1,1,1,0,8,5,3,3,15.0,1563,5,1,4,1563,2.0,3,4,1,4,11.0,243.0,0,0,0
0,126500,1,80.0,8892,1,0,1,1,1,1,0,5,5,3,3,9.0,1065,4,1,4,1065,1.5,3,3,1,0,10.0,74.0,0,0,0
8,168500,1,,8530,1,0,1,1,1,1,1,7,5,3,3,10.0,384,4,1,4,1474,2.5,3,3,1,3,12.0,192.0,0,0,700
5,260000,1,121.0,16059,1,1,1,1,0,1,1,8,5,4,3,10.0,1288,5,1,4,2417,2.5,4,4,1,3,10.0,209.0,0,0,0
5,174000,1,122.0,11911,1,0,1,1,1,1,0,6,5,4,3,12.0,684,5,1,4,1560,2.5,3,4,1,4,12.0,138.0,0,0,0
13,164500,0,40.0,3951,1,1,1,1,0,0,0,6,5,4,3,12.0,612,5,1,4,1224,2.5,2,4,1,0,11.0,234.0,0,0,0
4,85000,0,105.0,8470,1,0,1,1,0,1,67,3,2,2,2,8.0,1013,3,0,4,1013,1.0,2,2,1,0,1.0,156.0,0,0,0
0,123600,1,60.0,8070,1,1,1,1,1,1,1,4,5,3,3,15.0,990,5,1,4,990,1.0,3,3,1,0,3.0,0.0,0,0,0
0,109900,1,60.0,7200,1,1,1,1,1,1,0,4,5,3,3,,0,3,1,3,1040,1.0,2,3,1,0,10.0,29.0,0,0,0
0,98600,1,85.0,8500,1,1,1,1,1,1,0,5,3,3,3,11.0,1235,3,1,4,1235,1.0,2,3,1,0,10.0,0.0,0,0,0
1,163500,1,80.0,13360,1,0,0,1,1,1,85,5,7,3,4,14.0,876,5,1,4,964,1.0,2,3,1,0,10.0,44.0,0,0,0
15,133900,0,60.0,7200,1,1,1,1,0,0,88,6,6,3,3,11.0,1214,5,0,4,2291,2.0,4,3,1,4,10.0,99.0,0,0,0
5,204750,1,69.0,9337,1,0,1,1,1,1,0,6,5,3,4,15.0,824,5,1,4,1786,2.5,3,4,1,0,11.0,162.0,0,0,0
5,185000,1,,9765,1,0,1,1,0,1,0,6,8,5,4,15.0,680,4,1,4,1470,2.5,3,3,1,3,12.0,295.0,0,0,480
0,214000,1,78.0,10264,1,0,1,1,1,1,0,7,5,4,3,16.0,1588,5,1,4,1588,2.0,3,4,1,0,11.0,187.0,0,0,0
0,94750,1,73.0,10921,1,1,0,1,1,1,0,4,5,3,3,11.0,960,3,1,2,960,1.0,3,3,1,0,11.0,120.0,0,0,0
1,83000,1,85.0,10625,1,1,1,1,0,1,30,5,5,3,3,13.0,458,2,0,4,835,1.0,2,3,1,0,9.0,77.0,0,0,400
0,128950,1,77.0,9320,1,0,1,1,1,1,0,4,5,3,3,13.0,950,2,1,4,1225,1.5,3,3,1,0,3.0,352.0,0,0,400
0,205000,1,,10603,1,0,1,1,1,1,24,6,7,3,3,14.0,1610,4,1,4,1610,2.0,3,4,1,3,11.0,236.0,0,0,0
5,178000,1,77.0,9206,1,1,1,1,1,1,0,6,5,4,3,10.0,741,3,1,4,1732,2.5,3,4,1,3,12.0,238.0,0,0,0
10,118964,1,64.0,7018,1,1,0,1,1,0,0,5,5,3,2,,0,3,1,4,1535,2.0,4,3,1,0,10.0,0.0,0,0,0
0,198900,1,94.0,10402,1,0,1,1,0,1,0,7,5,3,3,10.0,1226,5,1,4,1226,2.0,3,4,1,0,11.0,36.0,0,0,0
4,169500,1,,7758,1,1,1,1,0,1,19,7,4,3,2,10.0,1040,5,1,2,1818,1.5,4,3,1,3,10.0,184.0,0,0,0
5,250000,0,75.0,9375,1,1,1,1,1,1,1,8,5,4,3,11.0,1053,5,1,4,1992,2.5,3,4,1,4,11.0,185.0,0,0,0
1,100000,1,60.0,10800,1,1,1,1,1,1,110,4,7,3,3,8.0,641,4,1,4,1047,1.0,2,3,1,0,6.0,0.0,0,0,450
0,115000,1,50.0,6000,1,1,1,1,1,1,2,5,5,3,3,16.0,789,5,1,4,789,1.0,2,3,1,0,10.0,0.0,0,0,0
4,115000,1,85.0,8500,1,1,1,1,0,1,86,5,7,3,3,9.0,793,3,0,2,1517,2.0,3,2,1,0,1.0,144.0,0,0,0
0,190000,1,105.0,11751,1,0,1,1,1,1,0,6,6,3,3,13.0,1844,5,1,4,1844,2.0,3,3,1,3,11.0,122.0,0,0,0
4,136900,1,75.0,9525,1,1,1,1,1,1,18,6,4,3,3,10.0,994,4,1,4,1855,2.0,4,3,1,0,10.0,182.0,0,0,0
8,180000,1,,7750,1,0,1,1,1,1,0,7,5,3,3,15.0,384,5,1,4,1430,2.5,3,3,1,3,12.0,180.0,0,0,0
5,383970,1,77.0,9965,1,1,1,1,1,1,0,7,5,4,3,18.0,1264,5,1,4,2696,2.5,4,5,1,4,12.0,472.0,0,0,0
0,217000,1,,21000,1,1,0,1,0,1,0,6,5,3,4,17.0,1809,3,1,4,2259,2.0,3,4,1,4,10.0,478.0,0,0,0
6,259500,1,61.0,7259,1,0,1,1,1,1,57,6,8,3,3,14.0,1028,5,1,4,2320,2.5,3,4,1,3,10.0,224.0,0,0,0
13,176000,0,34.0,3230,1,1,1,1,0,0,0,6,5,3,3,15.0,729,4,1,4,1458,2.5,2,3,1,2,10.0,32.0,0,0,0
0,139000,1,,11616,1,1,1,1,1,1,0,5,5,3,3,13.0,1092,3,1,4,1092,1.0,3,3,1,1,10.0,164.0,0,0,0
0,155000,1,74.0,8536,1,1,1,1,0,1,1,5,5,3,3,10.0,1125,4,1,4,1125,1.5,2,3,1,0,10.0,144.0,0,0,0
5,320000,1,90.0,12376,1,1,1,1,0,1,0,7,5,3,3,16.0,1673,4,1,4,3222,3.0,5,4,1,3,10.0,367.0,0,0,0
5,163990,1,65.0,8461,1,1,1,1,1,1,1,6,5,4,3,10.0,728,5,1,4,1456,2.5,3,4,1,4,12.0,24.0,0,0,0
8,180000,1,,21453,1,0,0,1,0,1,0,6,5,3,3,16.0,938,5,1,4,988,1.0,1,3,1,3,10.0,260.0,0,0,0
4,100000,1,50.0,6060,1,1,1,1,1,1,11,4,5,3,3,9.0,732,4,1,4,1123,1.0,3,3,1,0,9.0,140.0,0,0,0
0,136000,1,75.0,9464,1,1,1,1,0,1,0,6,7,3,4,12.0,1080,4,1,4,1080,1.0,3,3,1,0,10.0,130.0,0,0,0
11,153900,1,55.0,7892,1,1,1,1,1,0,0,6,5,4,3,15.0,1199,5,1,4,1199,2.0,2,4,1,0,11.0,63.0,0,0,0
0,181000,1,48.0,17043,1,0,1,1,0,1,19,6,5,3,4,9.0,1362,3,1,4,1586,2.0,3,3,1,3,10.0,192.0,0,0,0
15,84500,1,60.0,6780,1,1,1,1,1,0,47,6,8,3,2,16.0,520,4,0,4,520,1.0,2,3,1,0,1.0,53.0,0,0,0
11,128000,1,,4928,1,0,1,1,1,0,0,6,5,3,3,14.0,1078,3,1,4,958,2.0,2,3,1,3,11.0,205.0,0,0,0
3,87000,1,55.0,4388,1,0,0,1,1,1,20,5,7,3,4,10.0,672,5,1,4,840,1.0,3,3,1,3,1.0,0.0,0,0,0
5,155000,1,69.0,7590,1,1,1,1,1,1,0,6,5,3,3,12.0,660,3,1,4,1348,1.5,3,3,1,2,11.0,296.0,0,0,0
0,150000,1,69.0,8973,1,1,1,1,1,1,33,5,7,3,3,14.0,1008,3,1,3,1053,1.5,3,5,1,0,11.0,260.0,0,0,0
5,226000,1,88.0,14200,1,1,1,1,0,1,0,7,6,3,3,11.0,924,5,1,4,2157,2.5,4,4,1,4,12.0,171.0,0,0,0
5,244000,1,,12224,1,0,1,1,0,1,0,6,5,4,3,15.0,992,5,1,4,2054,2.5,3,4,1,3,11.0,72.0,0,0,0
0,150750,1,75.0,7388,1,1,1,1,0,1,43,5,6,3,3,11.0,1063,4,1,4,1327,1.0,3,4,1,0,10.0,0.0,0,0,0
0,220000,1,,6853,1,0,1,1,1,1,1,8,5,4,3,16.0,1267,5,1,4,1296,2.0,2,4,1,0,12.0,217.0,0,0,0
0,180000,1,78.0,10335,1,0,1,1,1,1,25,5,6,3,3,11.0,1461,4,1,4,1721,2.5,3,3,0,3,11.0,276.0,0,0,0
0,174000,1,80.0,10400,1,1,1,1,1,1,0,7,6,3,3,9.0,1304,4,1,4,1682,2.0,3,3,1,4,10.0,98.0,0,0,0
0,143000,1,,10355,1,0,1,1,0,1,0,5,5,3,3,12.0,1214,3,1,4,1214,2.0,3,3,1,2,11.0,111.0,0,0,0
10,171000,1,82.0,11070,1,1,1,1,1,0,1,7,5,3,3,9.0,1907,4,1,4,1959,3.0,5,3,1,0,10.0,0.0,0,0,0
5,230000,1,73.0,9066,1,0,1,1,1,1,1,8,5,4,3,16.0,1004,5,1,4,1852,2.5,3,4,1,3,12.0,330.0,0,0,0
5,231500,1,65.0,15426,1,0,1,1,1,1,0,6,5,3,3,15.0,928,5,1,4,1764,2.5,3,4,1,0,11.0,375.0,0,0,0
0,115000,1,70.0,10500,1,1,1,1,0,1,0,4,5,3,3,13.0,864,3,1,4,864,1.0,3,3,1,1,3.0,0.0,0,0,0
0,260000,1,78.0,11645,1,1,1,1,1,1,0,7,5,4,3,17.0,1734,5,1,4,1734,2.0,3,4,1,0,12.0,184.0,0,0,0
4,166000,1,71.0,8520,1,1,1,1,0,1,0,5,4,3,2,11.0,910,2,1,4,1385,2.0,4,3,1,0,10.0,0.0,0,0,0
0,204000,1,78.0,10335,1,0,1,1,1,1,0,7,5,4,3,18.0,1490,5,1,4,1501,2.0,3,4,1,0,11.0,173.0,0,0,0
10,125000,1,70.0,9100,1,1,1,1,1,0,0,5,5,3,3,11.0,1728,3,1,4,1728,2.0,6,3,1,0,10.0,0.0,0,0,0
13,130000,1,24.0,2522,1,1,1,1,1,0,2,6,5,4,3,10.0,970,5,1,4,1709,2.0,3,4,0,0,10.0,40.0,0,0,0
1,105000,1,51.0,6120,1,1,1,1,0,1,62,5,7,3,3,12.0,715,3,1,3,875,1.0,2,3,1,0,9.0,48.0,0,0,0
5,222500,1,,9505,1,0,1,1,0,1,0,7,5,4,3,10.0,884,5,1,4,2035,2.5,3,4,1,4,12.0,192.0,0,0,0
0,141000,1,63.0,7500,1,1,1,1,1,1,1,7,5,3,3,15.0,1080,5,1,4,1080,1.0,3,4,1,0,3.0,0.0,0,0,0
4,115000,1,,6240,1,1,1,1,1,1,14,5,4,3,3,10.0,896,4,1,3,1344,1.0,3,3,1,0,9.0,314.0,0,0,0
0,122000,1,120.0,10356,1,1,1,1,0,1,0,5,6,3,3,14.0,969,3,1,4,969,1.5,3,3,1,0,10.0,0.0,0,0,0
0,372402,1,107.0,13891,1,1,1,1,1,1,1,8,5,4,3,19.0,1710,5,1,4,1710,2.0,2,4,1,4,11.0,102.0,0,0,0
5,190000,1,,14803,1,0,1,1,0,1,0,6,5,3,3,11.0,825,4,1,4,1993,2.5,4,3,1,4,11.0,66.0,0,0,0
0,235000,1,,13500,1,1,1,1,1,1,15,6,7,3,3,20.0,1602,4,1,4,1252,1.0,1,3,1,4,11.0,409.0,0,0,0
1,125000,1,84.0,11340,1,1,1,1,0,1,27,6,5,3,3,9.0,1200,3,1,3,1200,1.0,4,3,1,0,8.0,228.0,0,0,0
4,79000,1,60.0,9600,1,1,1,1,0,1,26,6,5,3,3,9.0,572,2,0,2,1096,1.0,2,3,1,0,1.0,136.0,0,0,0
0,109500,1,60.0,7200,1,1,1,1,1,1,0,5,7,3,3,,0,3,1,2,1040,1.0,2,3,1,0,10.0,0.0,0,0,0
5,269500,1,92.0,12003,1,1,1,1,0,1,1,8,5,4,3,11.0,774,5,1,4,1968,2.5,4,5,1,4,12.0,75.0,0,0,0
5,254900,0,100.0,12552,1,1,1,1,0,1,1,7,5,4,3,15.0,991,5,1,4,1947,2.5,3,4,1,4,11.0,136.0,0,0,0
5,320000,1,134.0,19378,1,0,0,1,0,1,1,7,5,4,3,16.0,1392,5,1,4,2462,2.5,4,4,1,4,11.0,539.0,0,0,0
0,162500,1,,11120,1,0,1,1,0,1,0,6,6,3,3,13.0,1232,3,1,4,1232,2.0,3,3,1,0,10.0,0.0,0,0,0
5,412500,1,110.0,13688,1,0,1,1,1,1,1,9,5,4,3,18.0,1572,5,1,4,2668,2.5,3,5,1,4,12.0,400.0,0,0,0
0,220000,1,95.0,12182,1,1,1,1,0,1,0,7,5,4,3,14.0,1541,5,1,4,1541,2.0,3,4,1,4,11.0,70.0,0,0,0
3,103200,1,55.0,5500,1,1,1,1,1,1,0,4,6,3,3,9.0,882,5,1,4,882,1.0,1,3,1,0,3.0,0.0,0,0,0
2,152000,1,40.0,5400,1,1,1,1,0,1,78,6,7,3,4,11.0,1149,4,1,3,1616,2.0,3,4,1,0,10.0,183.0,0,0,0
15,127500,1,62.0,10106,1,1,1,1,1,0,59,5,7,3,4,15.0,644,4,1,4,1355,2.0,4,3,1,0,3.0,140.0,0,0,0
0,190000,1,,10708,1,0,1,1,1,1,38,5,5,4,3,13.0,1617,5,1,3,1867,1.0,2,3,1,4,12.0,618.0,0,0,0
5,325624,1,86.0,10562,1,1,1,1,1,1,0,8,5,4,3,16.0,1582,5,1,4,2161,1.5,3,5,1,4,12.0,298.0,0,0,0
5,183500,1,62.0,8244,1,0,1,1,1,1,0,7,5,4,3,10.0,840,5,1,4,1720,2.5,3,4,1,4,12.0,148.0,0,0,0
0,228000,1,,16669,1,0,1,1,0,1,0,8,6,4,3,10.0,1686,3,1,4,1707,2.5,2,3,1,3,11.0,638.0,0,0,0
4,128500,1,,12358,1,0,1,1,1,1,9,5,6,3,3,11.0,720,3,1,4,854,1.5,2,3,1,0,10.0,237.0,0,0,0
0,215000,1,141.0,31770,1,0,1,1,0,1,0,6,5,3,3,16.0,1080,2,1,4,1656,1.0,3,3,1,4,11.0,272.0,0,0,0
13,239000,1,44.0,5306,1,0,1,1,1,0,0,7,7,4,4,18.0,1064,4,1,4,1767,2.0,2,4,1,3,12.0,476.0,0,0,0
0,163000,1,80.0,10197,1,0,1,1,1,1,0,6,5,3,3,15.0,1362,3,1,4,1362,1.5,3,3,1,3,10.0,20.0,0,0,0
0,184000,1,47.0,12416,1,0,1,1,1,1,0,6,5,3,3,14.0,1606,3,1,4,1651,2.0,3,3,0,3,12.0,192.0,0,0,0
0,243000,1,84.0,12615,1,1,1,1,0,1,51,6,7,3,3,16.0,1202,3,1,4,2158,2.0,4,4,1,4,10.0,68.0,0,0,0
5,211000,1,97.0,10029,1,0,1,1,0,1,1,6,5,4,3,15.0,1151,3,1,4,2060,2.5,4,3,1,3,10.0,420.0,0,0,0
